Index,Title,Artist,Top Genre,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness
spotify:track:2d8ynGRikofLBsLy9iden9,August - DJ DimixeR Remix,Intelligency,belarusian indie,124.034,0.971,0.687,-3.223,0.217,0.393,158400,0.0348,0.0539
spotify:track:1cimjxWMAlfJ5nYupXVseJ,Gimme Gimme Feat. Bleech - Club Mix,Kevin McKay,deep groove house,126.011,0.912,0.716,-4.7,0.0848,0.52,210476,0.00426,0.034
spotify:track:3B1Je3rlEac3p4ikYW13zw,Define,Dom Dolla,australian house,122.043,0.808,0.405,-3.867,0.133,0.32,232129,0.18,0.0355
spotify:track:7pARbCUoO1CTzU5ucMEaVF,Summer 91,Noizu,bass house,124.992,0.953,0.5,-5.606,0.26,0.327,149280,0.00598,0.0441
spotify:track:6RKFXPdoCBRcLljsxKZUNw,Move All Night,SNBRN,bass house,124,0.69,0.797,-5.845,0.132,0.184,197419,0.248,0.037
spotify:track:5cz0T1Q8AmpY18TDLAe2ja,Praise (feat. Gunna),Tchami,bass house,124.023,0.681,0.737,-10.063,0.31,0.799,210001,0.0401,0.0536
spotify:track:7JdiXX87BugXUDhQ89GEc8,Deep End - SIDEPIECE Remix,John Summit,bass house,126.025,0.665,0.763,-9.063,0.476,0.422,196667,0.122,0.0807
spotify:track:2HCBnkp5UCXO5Y9JK3UKhM,Sad - Imanbek Remix,Rasster,,124.992,0.757,0.746,-6.078,0.0863,0.499,174720,0.491,0.054
spotify:track:6G7zxqKAXgLtjQS7FZeCxI,Neverland,KSHMR,big room,137.993,0.937,0.312,-3.994,0.288,0.257,189525,0.00301,0.0504
spotify:track:0Xz3DTcdZI01mjKfNZrsC1,Mayhem,Steve Aoki,dance pop,127.929,0.964,0.604,-4.713,0.858,0.078,157031,0.00016,0.033
spotify:track:6lYdV7rTtv3dVpQ89htlRU,Calabria - Firebeatz Remix,Rune RK,dakke dak,128.004,0.879,0.636,-2.862,0.324,0.395,221250,0.000732,0.0702
spotify:track:0WSjVLITbxV6kVXndziQDm,Drop That Low (When I Dip),Tujamo,dance pop,125.744,0.896,0.586,-4.132,0.121,0.103,160000,0.00945,0.372
spotify:track:3On0xk67ckVLs1qEpTF8mY,Bring It Back,Deorro,dance pop,127.962,0.904,0.762,-4.064,0.436,0.518,165000,0.00167,0.0862
spotify:track:4WgM2becr135oJ7DfVNaCd,Booty Bounce - Radio Edit,Tujamo,dance pop,128.004,0.981,0.657,-3.498,0.0577,0.563,200760,0.0295,0.0365
spotify:track:3b0cJPguhWOh2hjY6Lu192,The Beat,Mike Williams,big room,128.014,0.954,0.563,-1.835,0.27,0.788,162187,0.119,0.0283
spotify:track:0HnV5R4fBuNCoh6XDetQmj,Rhythm Of The Night,Maurice West,edm,127.964,0.861,0.507,-3.302,0.643,0.238,181943,0.00264,0.0938
spotify:track:4yn4T3wztHmguBIeSVwWie,Riverside (Reloaded),Tujamo,dance pop,125.976,0.929,0.884,-4.303,0.142,0.29,175238,0.0286,0.121
spotify:track:6sdNWKtZvLcDWneu25V6eU,Flamenco (feat. Rage),Timmy Trumpet,australian dance,133.005,0.844,0.605,-4.028,0.109,0.124,186828,0.0003,0.0461
spotify:track:2Rrdun8PrVxUSJlLQtQP8M,Flute - Radio Mix,New World Sound,melbourne bounce international,127.993,0.886,0.384,-6.349,0.0721,0.122,198750,0.000768,0.0591
spotify:track:4TuNI3WEMyLQAKRMJmcQdA,Narco,Blasterjaxx,big room,129.961,0.943,0.764,-4.047,0.0699,0.207,208635,0.00784,0.0711
spotify:track:3vj7ZCPLdgM9T6obaVl2HK,Shake It,Tujamo,dance pop,127.028,0.967,0.829,-3.847,0.217,0.628,190394,0.00378,0.0635
spotify:track:4ekDggjElGJX9kNSOtnbVf,Infinity - Dubdogz & Bhaskar Edit,Dubdogz,brazilian bass,123.979,0.57,0.723,-8.589,0.0862,0.575,196000,0.00412,0.0429
spotify:track:19eIZmuXlBmLTha1lPHef7,Alors On Danse - DubDogz Remix,Stromae,belgian pop,122.98,0.752,0.789,-4.274,0.613,0.739,168577,0.027,0.164
spotify:track:0ShyEbWNOeL0lUtHOCfnmD,When I'm Around U,BURNS,la pop,128.007,0.787,0.658,-7.059,0.247,0.252,287643,0.00267,0.098
spotify:track:7fPuWrlpwDcHm5aHCH5D9t,Roses - Imanbek Remix,SAINt JHN,melodic rap,121.962,0.721,0.785,-5.457,0.285,0.894,176219,0.0149,0.0506
spotify:track:02cflDeFB9gGB8ukUlhN98,Hit the Road Jack,Throttle,,123.052,0.886,0.768,-2.738,0.121,0.58,197073,0.107,0.152
spotify:track:06dT0EYXrhRQV1MsvWhNGv,Bad (feat. Vassy) - Radio Edit,David Guetta,big room,127.966,0.972,0.614,-3.927,0.328,0.411,170625,0.00125,0.088
spotify:track:2xkrujtSjZz7EKAYGbIIzH,Blah Blah Blah,Armin van Buuren,dutch trance,138.009,0.963,0.612,-3.912,0.294,0.179,183519,0.00897,0.0531
spotify:track:1M0hRg4ccFGMqi00ITrxNv,Switch Back,Quintino,dutch edm,128.003,0.925,0.639,-5.408,0.341,0.183,165000,0.000435,0.036
spotify:track:2cIdK8ARSHQzVHB1y8AaSB,No More Chances (If You Really Love Somebody),Wilson,pop dance,123.992,0.942,0.641,-4.139,0.0857,0.53,189677,0.0223,0.0957
spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,boy band,122.973,0.538,0.453,-8.212,0.19,0.516,204533,0.449,0.0638
spotify:track:21NeQgKhabORuZ3pfsPfz5,I Can't Hate You,Kayou.,japanese chillhop,140.021,0.436,0.687,-9.441,0.0925,0.202,178481,0.461,0.106
spotify:track:3jZDWsoxRHzzp3DYV8qeXE,You Broke My Heart Again,Teqkoi,emo rap,149.509,0.143,0.451,-15.685,0.195,0.233,103400,0.956,0.235
spotify:track:6HeCk6yewXH7WO4D93eub9,Ruthless (Nice Guys Always Finish Last),MarMar Oso,pop r&b,86.042,0.269,0.724,-15.465,0.0808,0.866,233023,0.388,0.0456
spotify:track:5lbdxt9C6rsELTimTkyMn8,I Need U,yaeow,lo-fi chill,84.873,0.405,0.402,-12.486,0.155,0.072,142588,0.513,0.0713
spotify:track:35r28RDot7nPE7y9K9H7l0,Feeling Whitney,Post Malone,dfw rap,80.111,0.227,0.412,-12.696,0.282,0.226,257267,0.787,0.0359
spotify:track:74D7JUfU6HYeMx4bZhsHnG,What If I Told You That I Love You,Ali Gatie,canadian hip hop,84.628,0.365,0.605,-11.144,0.0554,0.224,193668,0.63,0.111
spotify:track:21UPL4RXZPmg2TZ2DgWADj,Feels Like You,Faime,chill r&b,92.991,0.352,0.848,-6.798,0.0865,0.571,198912,0.789,0.0464
spotify:track:4Ld4kbKo1eOzToQ0P8JA0V,Arcade (feat. FLETCHER),Duncan Laurence,dutch pop,71.944,0.395,0.446,-9.328,0.128,0.267,187453,0.815,0.0365
spotify:track:4G9addS7Yq5ihZBQLXG2Mj,I Don't Know My Name,Grace VanderWaal,pop,140.649,0.221,0.548,-8.383,0.109,0.457,148840,0.775,0.0401
spotify:track:69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,pop,171.232,0.235,0.331,-7.7,0.137,0.218,204326,0.918,0.0299
spotify:track:1jamYoajBDUTfD2x5izevP,Hurt for Me,SYML,indie cafe pop,72.867,0.046,0.548,-17.929,0.1,0.176,219480,0.968,0.0587
spotify:track:07lBZmLa4sZjvceDtjA2OR,Too Young to Be Lonely,Sloane,,92.999,0.775,0.74,-7.222,0.0887,0.651,194373,0.575,0.0793
spotify:track:3xn7cwof2Srt3CRjvLfrXa,Fear of the Water,SYML,indie cafe pop,93.031,0.208,0.46,-17.635,0.118,0.151,245813,0.954,0.0302
spotify:track:47EWMOElkkbMp5m9SBkx7d,IDK You Yet,Alexander 23,electropop,76.994,0.306,0.629,-11.735,0.124,0.191,184638,0.884,0.0424
spotify:track:7GCVboEDzfL3NKp1NrAgHR,Wrong Direction,Hailee Steinfeld,dance pop,72.293,0.388,0.378,-9.017,0.157,0.188,248987,0.472,0.036
spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World,indiecoustica,141.284,0.147,0.407,-8.822,0.0913,0.0765,229400,0.857,0.0355
spotify:track:26z6V1SijQq6J3gPIu1H7t,Lost Without You,Freya Ridings,pop,162.08,0.137,0.409,-9.169,0.0706,0.106,225076,0.928,0.0446
spotify:track:45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,dance pop,124.148,0.373,0.667,-9.389,0.0906,0.0823,169266,0.785,0.05
spotify:track:3V0nnQhqvbE3JmiDdnzQFQ,July (feat. Leon Bridges),Noah Cyrus,dance pop,72.5,0.211,0.708,-9.603,0.131,0.362,152280,0.853,0.0424
spotify:track:0jZO7p0nBUi9VHedWUBS9l,The Night We Met (feat. Phoebe Bridgers),Lord Huron,indie folk,174.127,0.437,0.424,-8.588,0.664,0.131,208173,0.962,0.0355
spotify:track:52iLDrSoRtf9lcgFuLVfqE,Older,Sasha Sloan,electropop,64.002,0.292,0.681,-9.599,0.0974,0.162,191002,0.743,0.0483
spotify:track:63nJIngH6cMV70V5IUx3Ex,"always, i'll care",Jeremy Zucker,electropop,104.957,0.163,0.766,-15.975,0.107,0.634,146147,0.92,0.0573
spotify:track:1FBuBhNZ8dmjUBWR58UOQv,Tell Me Why I'm Waiting,Timmies,lo-fi chill,124.008,0.277,0.671,-11.185,0.0657,0.173,123891,0.8,0.0549
spotify:track:2BuJrxYKhYky20dQqTlobO,skeletons,keshi,chill r&b,80.021,0.265,0.719,-12.782,0.108,0.273,152480,0.296,0.0754
spotify:track:0ouTaNuDfXPLnXkKi4AYOO,I Got So High That I Saw Jesus,Noah Cyrus,dance pop,139.597,0.384,0.577,-11.897,0.0809,0.102,217714,0.314,0.0436
spotify:track:3CRtbOoAP82y0VbPO5j1ft,Too Sad To Cry,Sasha Sloan,electropop,120.483,0.27,0.515,-9.935,0.114,0.234,208987,0.842,0.0357
spotify:track:58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,pop,109.986,0.128,0.522,-18.717,0.0941,0.124,187932,0.894,0.0357
spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",gnash,electropop,92.6,0.275,0.492,-13.4,0.101,0.18,251034,0.687,0.3
spotify:track:3atqfvHwNUtXwWhhhkVBm7,Cocaine,Pink Sweat$,bedroom soul,109.569,0.228,0.614,-12.336,0.106,0.146,131500,0.835,0.0316
spotify:track:57m2Kve0xnAgYVAPxMLKHS,tear myself apart,Tate McRae,dance pop,86.048,0.504,0.478,-6.91,0.119,0.309,168547,0.162,0.0305
spotify:track:46ydq5g3k17iLJs3qMDvO6,Hurts So Good,Astrid S,dance pop,120.039,0.609,0.675,-5.027,0.0957,0.378,208729,0.084,0.0586
spotify:track:6HRagoeRYMUbNny39cbMa9,Happy Times,Finding Hope,chill r&b,104.978,0.25,0.849,-12.02,0.106,0.559,186000,0.117,0.0357
spotify:track:2MvpHgDzl7skp1xowjCDiG,sometimes,Chelsea Cutler,electropop,168.521,0.127,0.466,-15.047,0.326,0.146,276080,0.889,0.042
spotify:track:6UKQqrX26fiwC6ab7Subn2,Broken Roots,Michl,,145.868,0.58,0.578,-6.895,0.289,0.249,226000,0.483,0.157
spotify:track:4CxFN5zON70B3VOPBYbd6P,you were good to me,Jeremy Zucker,electropop,102.128,0.0848,0.561,-15.099,0.112,0.206,219147,0.913,0.0404
spotify:track:5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,acoustic pop,119.949,0.443,0.618,-9.681,0.0829,0.167,198853,0.469,0.0526
spotify:track:1dCz8H2KRvwTsxehErPn8T,Sky Is Falling,Tarn PK,,150.181,0.275,0.525,-12.024,0.111,0.211,271100,0.929,0.0299
